ID,Title,Original Price,Discounted Price,URL
VA131MA56YCKINDFAS,Van Heusen Purple Textured Regular Fit Formal Shirt,2699,1620,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Purple-Textured-Regular-Fit-Formal-Shirt-300050818.html?pos=278&cid=VA131MA56YCKINDFAS
IN377MA34CXQINDFAS,Invictus White Solid Slim Fit Formal Shirt,1999,1200,https://www.jabong.com/men/clothing/shirts/formal-shirts/invictus-White-Solid-Slim-Fit-Formal-Shirt-300122481.html?pos=279&cid=IN377MA34CXQINDFAS
PA830MA86JGJINDFAS,Park Avenue Aqua Blue Striped Slim Fit Formal Shirt,1899,1140,https://www.jabong.com/men/clothing/shirts/formal-shirts/park-avenue-Aqua-Blue-Striped-Slim-Fit-Formal-Shirt-2888713.html?pos=280&cid=PA830MA86JGJINDFAS
JO423MA44HBYINDFAS,John Players Blue Printed Slim Fit Formal Shirt,1499,900,https://www.jabong.com/men/clothing/shirts/formal-shirts/John_Player-Blue-Printed-Slim-Fit-Formal-Shirt-300101980.html?pos=281&cid=JO423MA44HBYINDFAS
AR015MA99UYIINDFAS,Arrow Blue Striped Slim Fit Formal Shirt,1899,1330,https://www.jabong.com/men/clothing/shirts/formal-shirts/Arrow-Blue-Striped-Slim-Fit-Formal-Shirt-2176000.html?pos=282&cid=AR015MA99UYIINDFAS
HA358MA40ERFINDFAS,HANCOCK Black Solid Slim Fit Formal Shirt,1695,848,https://www.jabong.com/men/clothing/shirts/formal-shirts/hancock-Black-Solid-Slim-Fit-Formal-Shirt-1901359.html?pos=283&cid=HA358MA40ERFINDFAS
VA131MA71MUDINDFAS,Van Heusen Purple Checked Formal Shirt,2199,1320,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Purple-Checked-Formal-Shirt-300026232.html?pos=284&cid=VA131MA71MUDINDFAS
BL114MA98OWCINDFAS,Blackberrys Black Printed Slim Fit Formal Shirt,2595,1557,https://www.jabong.com/men/clothing/shirts/formal-shirts/blackberrys-Black-Printed-Slim-Fit-Formal-Shirt-300024273.html?pos=285&cid=BL114MA98OWCINDFAS
BL114MA52OWSINDFAS,Blackberrys White Textured Regular Fit Formal Shirt,2195,1537,https://www.jabong.com/men/clothing/shirts/formal-shirts/blackberrys-White-Textured-Regular-Fit-Formal-Shirt-300097598.html?pos=286&cid=BL114MA52OWSINDFAS
VA131MA89NDNINDFAS,Van Heusen Blue Textured Regular Fit Formal Shirt,1799,1260,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Blue-Textured-Regular-Fit-Formal-Shirt-300052350.html?pos=287&cid=VA131MA89NDNINDFAS
VA131MA91CCHINDFAS,Van Heusen Lavender Solid Regular Fit Formal Shirt,2299,1380,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Lavender-Solid-Regular-Fit-Formal-Shirt-300054648.html?pos=288&cid=VA131MA91CCHINDFAS
LO392MA73QPQINDFAS,Lombard Beige Solid Slim Fit Formal Shirt,2799,980,https://www.jabong.com/men/clothing/shirts/formal-shirts/lombard-Beige-Solid-Slim-Fit-Formal-Shirt-2717926.html?pos=289&cid=LO392MA73QPQINDFAS
VA131MA88YATINDFAS,Van Heusen Blue Solid Regular Fit Formal Shirt,2199,1320,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Blue-Solid-Regular-Fit-Formal-Shirt-300003411.html?pos=290&cid=VA131MA88YATINDFAS
HA358MA86SLTINDFAS,HANCOCK Purple Solid Slim Fit Formal Shirt,995,597,https://www.jabong.com/men/clothing/shirts/formal-shirts/hancock-Purple-Solid-Slim-Fit-Formal-Shirt-2033713.html?pos=291&cid=HA358MA86SLTINDFAS
MA174MA33KNMINDFAS,Mark Taylor White Solid Formal Shirt,999,550,https://www.jabong.com/men/clothing/shirts/formal-shirts/Mark_Taylor-White-Solid-Formal-Shirt-2748966.html?pos=292&cid=MA174MA33KNMINDFAS
BL114MA33LVUINDFAS,Blackberrys Dark Grey Printed Slim Fit Formal Shirt,2195,1317,https://www.jabong.com/men/clothing/shirts/formal-shirts/blackberrys-Dark-Grey-Printed-Slim-Formal-Shirt-2890466.html?pos=293&cid=BL114MA33LVUINDFAS
JO423MA99OYUINDFAS,John Players Cream Solid Slim Fit Formal Shirt,1699,850,https://www.jabong.com/men/clothing/shirts/formal-shirts/John_Player-White-Solid-Slim-Fit-Formal-Shirt-2066500.html?pos=294&cid=JO423MA99OYUINDFAS
VA131MA69JPHINDFAS,Van Heusen Green Checked Regular Fit Formal Shirt,3499,2100,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Green-Checked-Regular-Fit-Formal-Shirt-300048302.html?pos=295&cid=VA131MA69JPHINDFAS
BL173MA56LAGINDFAS,Black Coffee Blue Checked Slim Fit Formal Shirt,1449,725,https://www.jabong.com/men/clothing/shirts/formal-shirts/Black_Coffee-Blue-Checked-Slim-Fit-Formal-Shirt-300119965.html?pos=296&cid=BL173MA56LAGINDFAS
PA830MA26VUKINDFAS,Park Avenue Green Checked Slim Fit Formal Shirt,2999,1800,https://www.jabong.com/men/clothing/shirts/formal-shirts/park-avenue-Green-Checked-Slim-Fit-Formal-Shirt-300066433.html?pos=297&cid=PA830MA26VUKINDFAS
PA830MA92LXJINDFAS,Park Avenue Light Blue Solid Slim Fit Formal Shirt,2199,1320,https://www.jabong.com/men/clothing/shirts/formal-shirts/park-avenue-Light-Blue-Solid-Slim-Fit-Formal-Shirt-2890507.html?pos=298&cid=PA830MA92LXJINDFAS
AR015MA75ZHOINDFAS,Arrow Navy Blue Printed Slim Fit Formal Shirt,1899,1330,https://www.jabong.com/men/clothing/shirts/formal-shirts/Arrow-Navy-Blue-Printed-Slim-Fit-Formal-Shirt-2706224.html?pos=299&cid=AR015MA75ZHOINDFAS
RA462MA32GWLINDFAS,Raymond Pink Printed Slim Fit Formal Shirt,2399,1200,https://www.jabong.com/men/clothing/shirts/formal-shirts/raymond-Pink-Printed-Formal-Shirt-2693767.html?pos=300&cid=RA462MA32GWLINDFAS
JO196MA67LTJINDFAS,John Miller Pink Solid Regular Fit Formal Shirt,1199,540,https://www.jabong.com/men/clothing/shirts/formal-shirts/John-Miller-Pink-Solid-Regular-Fit-Formal-Shirt-300031441.html?pos=301&cid=JO196MA67LTJINDFAS
VA131MA09OKBINDFAS,Van Heusen Charcoal Grey Solid Regular Fit Formal Shirt,2299,1610,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Charcoal-Grey-Solid-Regular-Fit-Formal-Shirt-300068045.html?pos=302&cid=VA131MA09OKBINDFAS
AR015MA97BRVINDFAS,Arrow Fuchsia Checked Regular Fit Formal Shirt,2099,1470,https://www.jabong.com/men/clothing/shirts/formal-shirts/Arrow-Fuchsia-Checked-Regular-Fit-Formal-Shirt-300108050.html?pos=303&cid=AR015MA97BRVINDFAS
RA462MA13QBBINDFAS,Raymond Light Blue Checked Slim Fit Formal Shirt,1999,1200,https://www.jabong.com/men/clothing/shirts/formal-shirts/raymond-Light-Blue-Checked-Slim-Fit-Formal-Shirt-300071556.html?pos=304&cid=RA462MA13QBBINDFAS
BL173MA35DELINDFAS,Black Coffee White Solid Formal Shirt,1599,800,https://www.jabong.com/men/clothing/shirts/formal-shirts/Black_Coffee-White-Solid-Formal-Shirt-2927725.html?pos=305&cid=BL173MA35DELINDFAS
AR544MA91TMAINDFAS,Arrow New York Blue Printed Slim Fit Formal Shirt,2099,1470,https://www.jabong.com/men/clothing/shirts/formal-shirts/arrow-new-york-Blue-Printed-Slim-Fit-Formal-Shirt-2684708.html?pos=306&cid=AR544MA91TMAINDFAS
VA131MA12RUYINDFAS,Van Heusen Blue Textured Regular Fit Formal Shirt,2999,1800,https://www.jabong.com/men/clothing/shirts/formal-shirts/Van_Heusen-Blue-Textured-Regular-Fit-Formal-Shirt-300050672.html?pos=307&cid=VA131MA12RUYINDFAS
