pid,price,link,name
B01LXARCR5,"13,999.00",http://www.amazon.in/Honor-6X-Silver-64GB/dp/B01LXARCR5,"Honor 6X (Silver, 64GB)"
B01MG69BWT,,,Nokia 216 (Grey)
B011EW69EI,"1,410.00",http://www.amazon.in/Samsung-Guru-Plus-SM-B110E-Dark/dp/B011EW69EI,Samsung Guru FM Plus SM-B110E/D (Dark blue)
B071XWDSW2,649.00,http://www.amazon.in/K3310-Feature-Detector-Warranty-Yellow/dp/B071XWDSW2,I KALL K3310 Dual Sim Feature Mobile Phone With Money Detector Light And BATTERY SAVER option with 1 Year Warranty- Yellow
B00SYCXLWK,"1,279.00",http://www.amazon.in/Micromax-CG666-White-Grey/dp/B00SYCXLWK,Micromax CG666 (White-Grey)
B072BQSFJ6,"10,008.00",http://www.amazon.in/Lenovo-K6-Power-Gold-RAM/dp/B072BQSFJ6,"Lenovo K6 Power (Gold, 32 GB) (3 GB RAM)"
B014DYVWWS,"10,900.00",http://www.amazon.in/Samsung-SMG-SM-J700F-GOD-Galaxy-J7-Gold/dp/B014DYVWWS,Samsung Galaxy J7 SM-J700F (Gold)
B01M9GCSCJ,"2,589.00",http://www.amazon.in/NOKIA-Nokia-216-Blue/dp/B01M9GCSCJ,Nokia 216 (Blue)
B06VY5DBFW,"5,699.00",http://www.amazon.in/Intex-Aqua-Supreme-Black-16GB/dp/B06VY5DBFW,"Intex Aqua Supreme+ (Black, 16GB)"
B06XQYCG4B,"2,105.00",http://www.amazon.in/Nokia-150-Dual-SIM-Black/dp/B06XQYCG4B,"Nokia 150 (Dual SIM, Black)"
B008IEGRYS,,,Samsung Guru GT-E1200 (White)
B018VKZPG4,"8,694.00",http://www.amazon.in/Asus-Zenfone-ZC550KL-Black-16GB/dp/B018VKZPG4,"Asus Zenfone Max ZC550KL (Black, 16GB)"
B01CZNH1V0,,,"Xiaomi Redmi Note 3 (Dark Grey, 32GB)"
B072J2S8GJ,"10,016.00",http://www.amazon.in/Lenovo-Power-Grey-3GB-RAM-32GB/dp/B072J2S8GJ,Lenovo K6 Power (Grey-3GB RAM) (32GB ROM)
B0745BNFYV,"1,149.00",http://www.amazon.in/Nokia-105-Black-New-2017/dp/B0745BNFYV,Nokia 105 (Black) New 2017
B01N0LLXTQ,699.00,http://www.amazon.in/Aqua-J1-Battery-Vibration-Earphones/dp/B01N0LLXTQ,Aqua J1 - 1200 mAh Battery Slim Dual SIM Basic Keypad Mobile Phone with Vibration Feature & Free Earphones - Black
B071DB2F73,"2,999.00",http://www.amazon.in/iVOOMi-iV-Smart-4G-Marshmallow/dp/B071DB2F73,"iVOOMi iV Smart 4G (Marshmallow, Dual Watsapp)"
B01NCP4UPV,"4,499.00",http://www.amazon.in/Xolo-Era-4G-VoLTE-Black/dp/B01NCP4UPV,Xolo Era 2 4G With VoLTE (Black)
B071P2FNF2,"17,990.00",http://www.amazon.in/Vivo-V5S-Matte-Black-Offers/dp/B071P2FNF2,Vivo V5S (Matte Black) with Offers
B00CZ50ZQW,,,Nokia 105 (Black)
